"date","isk.volume"
2009-12-01,2074605696382
2009-12-02,5647207580697
2009-12-03,4788467947883
2009-12-04,5006040485918
2009-12-05,5167663037564
2009-12-06,5783289978836
2009-12-07,5022167544150
2009-12-08,4617776714941
2009-12-09,4820129719998
2009-12-10,4736297685081
2009-12-11,4736180327144
2009-12-12,5452986425165
2009-12-13,5727386570754
2009-12-14,5195604745859
2009-12-15,4739320340891
2009-12-16,4958027084906
2009-12-17,4868040752262
2009-12-18,4819967724949
2009-12-19,5867957576404
2009-12-20,5986772690166
2009-12-21,5370351510205
2009-12-22,5434890437865
2009-12-23,5110354048313
2009-12-24,4655657919976
2009-12-25,4231841282982
2009-12-26,4971732202874
2009-12-27,5300184060948
2009-12-28,5286513410053
2009-12-29,5114915040285
2009-12-30,5148304713670
2009-12-31,4557507413926
2010-01-01,4762713607918
2010-01-02,5587989767462
2010-01-03,5694885394207
2010-01-04,5234414244274
2010-01-05,5246477163034
2010-01-06,5356350358028
2010-01-07,5276881501450
2010-01-08,5444466654500
2010-01-09,5874103143533
2010-01-10,6021907227730
2010-01-11,5272626138828
2010-01-12,4948510282816
2010-01-13,4891610429971
2010-01-14,4942993358677
2010-01-15,5325230254827
2010-01-16,5736966611396
2010-01-17,6195372634110
2010-01-18,5314253237742
2010-01-19,5042879159443
2010-01-20,5130836357552
2010-01-21,4394425980651
2010-01-22,5129818943156
2010-01-23,6007922534000
2010-01-24,6175604978941
2010-01-25,5343288690045
2010-01-26,5118387105812
2010-01-27,5112890895147
2010-01-28,4658317664037
2010-01-29,5293940295338
2010-01-30,6188528095456
2010-01-31,6404486996438
2010-02-01,5556886078226
2010-02-02,5262359684458
2010-02-03,5261678769300
2010-02-04,5391928566936
2010-02-05,5520895995048
2010-02-06,6449753258054
2010-02-07,6407174463477
2010-02-08,5314459126164
2010-02-09,5201891177330
2010-02-10,5239532507773
2010-02-11,5183410368031
2010-02-12,5184987651518
2010-02-13,5915827068002
2010-02-14,5740476085739
2010-02-15,5273439287880
2010-02-16,4996325147357
2010-02-17,4950658328186
2010-02-18,5068802616244
2010-02-19,5254341430098
2010-02-20,5956838632334
2010-02-21,6161223926714
2010-02-22,5495113520046
2010-02-23,5249226030937
2010-02-24,5175806527487
2010-02-25,5155148622181
2010-02-26,5381666997621
2010-02-27,6173025180719
2010-02-28,5925404088140
2010-03-01,5243499098385
2010-03-02,5278339444760
2010-03-03,4958516724957
2010-03-04,4978473405990
2010-03-05,5346298233162
2010-03-06,5833368222079
2010-03-07,6101351825567
2010-03-08,5198425960239
2010-03-09,4870400082626
2010-03-10,5016237045444
2010-03-11,4921939410835
2010-03-12,5238185869051
2010-03-13,5875769620795
2010-03-14,6002526178929
2010-03-15,5331601309099
2010-03-16,5090055631684
2010-03-17,4934272981132
2010-03-18,5047489398482
2010-03-19,4910229742952
2010-03-20,5864243233692
2010-03-21,5945248775189
2010-03-22,5100119420895
2010-03-23,4902042372236
2010-03-24,4964335570315
2010-03-25,4992972926600
2010-03-26,5082282639573
2010-03-27,5578510181556
2010-03-28,6053196438824
2010-03-29,5393925605081
2010-03-30,5876316760238
2010-03-31,5221296519260
2010-04-01,5380032321445
2010-04-02,5699755807450
2010-04-03,5867771361461
2010-04-04,5505566312589
2010-04-05,5719218424185
2010-04-06,5314433824102
2010-04-07,5317441413268
2010-04-08,5025941788943
2010-04-09,5131765739427
2010-04-10,5942042178755
2010-04-11,5927529273329
2010-04-12,5211836076676
2010-04-13,4911286332656
2010-04-14,5000909858267
2010-04-15,4836307584266
2010-04-16,5093858723345
2010-04-17,5772176267789
2010-04-18,6015049068020
2010-04-19,5306126424209
2010-04-20,5088127643075
2010-04-21,5226251743054
2010-04-22,5164365122932
2010-04-23,5279390988898
2010-04-24,5761905544831
2010-04-25,6078752223498
2010-04-26,5367838696511
2010-04-27,5099178561813
2010-04-28,5239335362268
2010-04-29,5285419755421
2010-04-30,5275315322375
2010-05-01,5796932331790
2010-05-02,6006798405774
2010-05-03,5794695027900
2010-05-04,5036145611521
2010-05-05,5088656802114
2010-05-06,5351435923957
2010-05-07,3495669118815
2010-05-08,6250711433714
2010-05-09,5828077530235
2010-05-10,5309575059886
2010-05-11,5265150124655
2010-05-12,5498140889897
2010-05-13,5644550040192
2010-05-14,6128187150442
2010-05-15,5899017016299
2010-05-16,6085721369240
2010-05-17,5472087477077
2010-05-18,5505584220199
2010-05-19,5453673336500
2010-05-20,5273024760607
2010-05-21,5185597787302
2010-05-22,5700951544811
2010-05-23,5881379381209
2010-05-24,5686748052222
2010-05-25,5406894501085
2010-05-26,1781727124728
2010-05-27,6414751559982
2010-05-28,6352271209389
2010-05-29,6646551478899
2010-05-30,6164156927627
2010-05-31,5963234085281
2010-06-01,5557133979689
2010-06-02,5677338610344
2010-06-03,5492095602643
2010-06-04,5339068082676
2010-06-05,5696025081248
2010-06-06,5921808753522
2010-06-07,5570312166963
2010-06-08,5987978352386
2010-06-09,5477981789614
2010-06-10,5153765304527
2010-06-11,5011753267110
2010-06-12,5562573856709
2010-06-13,6017245648021
2010-06-14,5386714343820
2010-06-15,5074727177684
2010-06-16,5266409450299
2010-06-17,5100701125422
2010-06-18,5118214663087
2010-06-19,5699164029469
2010-06-20,6021093131343
2010-06-21,5506853953922
2010-06-22,5232791269355
2010-06-23,1596118896043
2010-06-24,2715458477407
2010-06-25,5637836629138
2010-06-26,5460495913468
2010-06-27,5747374937635
2010-06-28,5103966104219
2010-06-29,4399118648952
2010-06-30,5687046119931
2010-07-01,5143406431320
2010-07-02,5183575316821
2010-07-03,5632686984709
2010-07-04,6018023759936
2010-07-05,5895935660381
2010-07-06,5490646195510
2010-07-07,5298184291914
2010-07-08,5339516451062
2010-07-09,5516796390494
2010-07-10,5913272002706
2010-07-11,5924814299674
2010-07-12,5227628978348
2010-07-13,5003266092281
2010-07-14,5208974862109
2010-07-15,4991046464247
2010-07-16,5098874983331
2010-07-17,5748104164504
2010-07-18,6053013346391
2010-07-19,5372240098056
2010-07-20,5380896997322
2010-07-21,5364008858188
2010-07-22,5336974481166
2010-07-23,5263190568611
2010-07-24,5801810011802
2010-07-25,5956782874712
2010-07-26,5438447366086
2010-07-27,5162137668139
2010-07-28,5004480934883
2010-07-29,4956805076664
2010-07-30,5096672953913
2010-07-31,5709415652249
2010-08-01,5617644067120
2010-08-02,5026491771430
2010-08-03,5185717889526
2010-08-04,5239420530588
2010-08-05,5011028930433
2010-08-06,5239601750356
2010-08-07,5386866277134
2010-08-08,5828244660222
2010-08-09,5194252433489
2010-08-10,5264125467979
2010-08-11,5381645386484
2010-08-12,4849483287020
2010-08-13,5310337137515
2010-08-14,5693339956478
2010-08-15,5747822054917
2010-08-16,5138960816039
2010-08-17,4746159796253
2010-08-18,4373117759806
2010-08-19,4957878693303
2010-08-20,4921341425011
2010-08-21,5862235453897
2010-08-22,6190291974751
2010-08-23,5401417296263
2010-08-24,4981189757520
2010-08-25,5019282083907
2010-08-26,5391662259865
2010-08-27,5444218964489
2010-08-28,5918682159649
2010-08-29,6092765634842
2010-08-30,5381872176598
2010-08-31,5293013295424
2010-09-01,5277039809068
2010-09-02,5109893638184
2010-09-03,5475056915249
2010-09-04,6033250071640
2010-09-05,6302619980472
2010-09-06,5742844659520
2010-09-07,5709954274225
2010-09-08,5145755097619
2010-09-09,5124437964048
2010-09-10,5620307078929
2010-09-11,6184081790498
2010-09-12,6301491841983
2010-09-13,5305087954830
2010-09-14,5067791894585
2010-09-15,5087276078964
2010-09-16,5236620421538
2010-09-17,5205321378840
2010-09-18,6269823162621
2010-09-19,6662324024050
2010-09-20,5618739384532
2010-09-21,5426528355545
2010-09-22,5404217388958
2010-09-23,5332897740883
2010-09-24,5616598299128
2010-09-25,6049188108197
2010-09-26,6281247402894
2010-09-27,5391252133634
2010-09-28,5047945838282
2010-09-29,5180896070392
2010-09-30,3454816330724
2010-10-01,5516632732663
2010-10-02,6079105282696
2010-10-03,6218441545475
2010-10-04,5354077644078
2010-10-05,5149770455950
2010-10-06,5324207725477
2010-10-07,5248090524967
2010-10-08,5508622186322
2010-10-09,6448393929698
2010-10-10,6193813106547
2010-10-11,5686690764770
2010-10-12,5419158242172
2010-10-13,5523629809480
2010-10-14,5393465428878
2010-10-15,5896788271136
2010-10-16,6272990847296
2010-10-17,6251810464539
2010-10-18,5650515229877
2010-10-19,5378036756117
2010-10-20,5201711546218
2010-10-21,5202983829913
2010-10-22,5488531533187
2010-10-23,6292516694741
2010-10-24,6227543908478
2010-10-25,5531731858345
2010-10-26,5217979145584
2010-10-27,5111994409785
2010-10-28,5087278827852
2010-10-29,5531253610747
2010-10-30,6131518883321
2010-10-31,6110657489203
2010-11-01,5550332542924
2010-11-02,3373604963725
2010-11-03,5544384854841
2010-11-04,5548467522757
2010-11-05,5802914535179
2010-11-06,6399575513788
2010-11-07,7789626818300
2010-11-08,5859968817544
2010-11-09,5962337843770
2010-11-10,5660428160754
2010-11-11,5980313350980
2010-11-12,5819158760629
2010-11-13,6840244816415
2010-11-14,6745735651802
2010-11-15,5945555812070
2010-11-16,5646753574145
2010-11-17,5713621526361
2010-11-18,5604481445687
2010-11-19,5783557856720
2010-11-20,6754577315074
2010-11-21,7065493615401
2010-11-22,6007467502894
2010-11-23,5983686138731
2010-11-24,5925509960827
2010-11-25,5780828714506
2010-11-26,5610930666193
2010-11-27,6813245098500
2010-11-28,6818983339954
2010-11-29,6017190887137
2010-11-30,8438082026066
2010-12-01,8446529198433
