"date","produced","destroyed","mining.value"
2012-05-22,2199748149118.14,260561900203.174,309587998800.275
2012-05-23,2163815546557.91,535818186523.965,376600561926.628
2012-05-24,2185531687992.11,709486650676.102,413324404057.989
2012-05-25,2440171715226.71,921539019282.458,423342209189.487
2012-05-26,2344668496770.22,938988412159.735,520475302723.411
2012-05-27,2311692490082.94,1430046719719.9,576598584077.473
2012-05-28,2595904116650.68,1456801302306.3,520627683685.357
2012-05-29,2392107168612.68,1116425540518.7,556445590104.149
2012-05-30,2240671191968.84,850819536663.116,603514033141.939
2012-05-31,2259434213591.26,638053451551.735,578316669122.396
2012-06-01,2359716036244.69,970104920933.398,559569258708.55
2012-06-02,2415557999009.63,986386259025.097,717828568616.184
2012-06-03,2282229471128.01,972504769773.109,818497234440.368
2012-06-04,2277706305455.73,747399971108.152,699018867642.589
2012-06-05,2281834094868.32,764850606734.789,695378332024.09
2012-06-06,2339844947278.29,767088965681.143,711147172970.792
2012-06-07,2187164559381.84,739191536896.23,725011945044.262
2012-06-08,2224745586377.76,1132415512129.69,745852250409.006
2012-06-09,2274706621589.61,993744533403.887,823962640242.283
2012-06-10,2615884508626.89,27289146091097.4,988057541049.762
2012-06-11,2541065619287.92,4274299282654.23,772615870422.984
2012-06-12,2257059006342.69,14983385223572,723417097644.088
2012-06-13,2279152581278.34,10105515693665,690501643525.923
2012-06-14,2234495354152.33,719931312310.804,730034081539.556
2012-06-15,2168190447231.28,2692225825933.19,702404726566.755
2012-06-16,2141454056453.94,4777615345455.92,800058809760.62
2012-06-17,2496647498525.07,14890993428252.4,880653500587.835
2012-06-18,2081884743156.05,4222907436791.14,709960654957.825
2012-06-19,2473011862236.07,1589092036687.77,756099938742.126
2012-06-20,2235654970692.63,1818993284491.85,786683486555.623
2012-06-21,2432145283407.23,755008439632.995,737168698878.372
2012-06-22,2394119519029.26,737121870072.753,772245603897.45
2012-06-23,2289557272338.21,872873866280.332,968218057055.285
2012-06-24,2502501779354.95,917929058786.777,946576649672.224
2012-06-25,2190156072835.05,602858595042.978,617201071923.45
2012-06-26,2167329484770.49,639369349039.713,670988881569.577
2012-06-27,2210440822781.95,810716947240.79,708593789459.345
2012-06-28,2230631882073.93,640567880955.814,610131617295.378
2012-06-29,2275930723682.7,825933550989.432,643682815796.806
2012-06-30,2460328005252.85,837657412022.204,804292891876.059
2012-07-01,2449971654604.19,1043223015994.87,862785847348.7
2012-07-02,2052595955299.15,894898112724.125,741607640692.647
2012-07-03,2427641861753.03,913406146344.108,744241115771.905
2012-07-04,2468156781638.52,946093839943.069,770672883043.836
2012-07-05,2456730788505.75,695853078162.831,730103080668.236
2012-07-06,2225412317696.18,774959878968.405,764903556232.48
2012-07-07,2482087584791.67,1119872875620.08,878155047629.213
2012-07-08,2488361048133.96,1040071710241.23,917069454186.061
2012-07-09,2430595061792.69,843175560356.157,680843440742.462
2012-07-10,2211735585412.13,835911193141.381,758573268505.9
2012-07-11,2361647512878.96,898556031605.524,720882940276.555
2012-07-12,2289747719380.83,789840048844.291,730904702433.049
2012-07-13,2236249037257.21,783020307472.602,753652218792.496
2012-07-14,2426267079878.6,936495476789.66,878540691015.852
2012-07-15,2594843239799.67,1114988922131.41,928648530583.314
2012-07-16,2309027529023.12,737211224252.243,753298247386.836
2012-07-17,2366987645080.39,875179742341.165,764737640279.994
2012-07-18,2279532766213.84,736965220848.563,798391395414.873
2012-07-19,2268262294620.89,768693249050.628,769806701452.089
2012-07-20,2379144115906.09,750685922488.793,752214870757.999
2012-07-21,2479485763402.14,945669891233.562,866203735104.723
2012-07-22,2509620533806.76,1089845099884.79,912586002746.573
2012-07-23,2343773637845.37,880403612940.78,741125332232.379
2012-07-24,2453624696395.39,885409776769.442,775948989446.175
2012-07-25,2369345368416.11,796445541276.211,772806890026.126
2012-07-26,2566414588342.25,927387585398.302,758680066136.403
2012-07-27,2408664916243.93,756039250663.656,810332584836.978
2012-07-28,2467765598730.19,1007152366165.57,1142285827089.28
2012-07-29,2647225787926.75,1108544064095.83,1316659724256.29
2012-07-30,2345351358715.18,793998189657.829,930024065106.959
2012-07-31,2755206020224.7,794654397946.582,1087477475932.87
2012-08-01,2541464580715.2,755628102916.369,1035586612199.83
2012-08-02,2685678412241.8,844546878620.623,1204145662353.25
2012-08-03,2380592769799.54,793883178162.812,1687196042903.46
2012-08-04,2820564827626,1079752900690.61,2518725153936.93
2012-08-05,2773774109238.23,939998048678.338,2260675880820.91
2012-08-06,2836779866777.43,848264137772.184,1303678711305.74
2012-08-07,2673691153080.3,871344612515.593,1645168311181.31
2012-08-08,2470385474591.2,724083550506.605,2111828612439.47
2012-08-09,2701970160041.96,697799181913.529,2040671812006.53
2012-08-10,2580907907532.21,885463176609.924,2154189577517.62
2012-08-11,2598993079695.87,1019277430440.93,2979898169776.08
2012-08-12,2437608802781.8,1299387566477.61,3292345072696.78
2012-08-13,2419500685725.05,879465487713.38,2063930657593.04
2012-08-14,2516301884091.34,792722388037.771,3215406579651.18
2012-08-15,2602736211749.99,1245568589160.48,3041086419110.26
2012-08-16,2443441077056.04,858304579216.367,2466788303455.34
2012-08-17,2466111644155.03,804134267088.362,2132855365019.71
2012-08-18,2934106935224.27,1085345262282.33,2561811188006.11
2012-08-19,2740547642806.82,1045869867417.4,2991709761033.32
2012-08-20,2437222450027.5,815872052208.946,2236650617741.6
2012-08-21,2667347014825.72,690971587657.472,2270166362643.33
2012-08-22,2662144858773.06,825872025253.67,2018730609494.54
2012-08-23,2815231249897.74,850037975972.73,2332857990361.12
2012-08-24,2553464730319.4,829598038077.101,1837351975680.04
2012-08-25,2574600070688.53,955231089974.093,2439075436955.76
2012-08-26,2631069599934.16,1253280739378.95,2308290790157.99
2012-08-27,2481301394206.69,727627473302.988,2014227043649.14
2012-08-28,2423036541800.12,781762624573.975,1750347111021.04
2012-08-29,2434767397426.13,683170308916.084,1621476260300.31
2012-08-30,2809063557435.32,784110772853.146,1525952367521.93
2012-08-31,2489043100054.29,832215837635.437,1385247335734.65
2012-09-01,2860515466941.81,1015060688836.1,1734700731183.7
2012-09-02,2660952577808.45,951185605506.088,1491661064285.12
2012-09-03,2570011727516.44,810597557055.47,1285979070757.44
2012-09-04,2789134041666.42,673857448838.881,1142013953493.34
2012-09-05,2623915967679.29,717037269799.671,1327675055531.99
2012-09-06,3046494108540.39,618220192072.982,1331709333596.45
2012-09-07,3469063633165.93,696259989705.791,1000173470885.52
2012-09-08,2310334134946.4,928364586983.774,1052816600938
2012-09-09,2453713023753.39,1353386990696.08,1109272490011.61
2012-09-10,2369156943128.02,695252550609.144,852858597179.104
2012-09-11,2258676921391.53,804671747938.478,897360447739.551
2012-09-12,2404479438462.9,725317625416.196,926427287220.011
